Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000578012899319654,-5.7688627895801E-05,0.00404450006578867,0,0,0,1.33582261772473,0.00190552721506168,1.91669381804073E-06,-3.32116956809702E-07,0.00545876549540007,7.79525650447455E-07,0.00658881762188257,0,0,0,0,0,0,package://reddog/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/base_link.STL,,baselink.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fr_Link,0.0355876305426881,-0.0104296900307425,-1.28359375901979E-06,0,0,0,0.132446721608691,3.50236308120359E-05,-2.41073160939694E-06,-2.72964152464208E-08,5.77131471301608E-05,-5.34890627767012E-10,3.96320545381384E-05,0,0,0,0,0,0,package://reddog/meshes/fr_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/fr_Link.STL,,fr.step-1,Origin_fr,Axis_fr,fr,continuous,0.127999974999998,-0.055,0,0,0,0,base_link,1,0,0,,,,,,,,,,,,
fru_Link,-9.34411547029168E-05,-0.0198917871738739,-0.105759917116451,0,0,0,0.174525955075912,0.000214183984405237,-3.5897048212459E-10,-6.53208529547333E-07,0.000243702006301063,2.54712634332187E-06,4.57032533860371E-05,0,0,0,0,0,0,package://reddog/meshes/fru_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/fru_Link.STL,,fru.step-1,Origin_fru,Axis_fru,fru,continuous,0.0385000250000002,-0.0374999999999999,0,0,0,0,fr_Link,0,1,0,,,,,,,,,,,,
frd_Link,-9.82520703007306E-05,0.0411429320797129,-0.00959945232445422,0,0,0,0.0428740047698686,7.92568863026745E-05,-4.32944552703502E-07,8.98696388882932E-09,9.57441852489553E-06,-2.23385208786903E-06,8.75941589486272E-05,0,0,0,0,0,0,package://reddog/meshes/frd_Link.STL,0.286274509803922,0.286274509803922,0.286274509803922,1,0,0,0,0,0,0,package://reddog/meshes/frd_Link.STL,,frd.step-2/Component4(Mirror) (1)(Mirror)(Mirror).step-1,Origin_frd,Axis_frd,frd,continuous,0,-0.0409852014855582,-0.130000000000001,-1.5707963267949,0,0,fru_Link,0,0,1,,,,,,,,,,,,
frf_Link,-1.02168622444498E-05,-5.01980366441057E-05,-0.00145519715805914,0,0,0,0.0137552857010605,1.39693456810456E-06,-9.74524577850989E-11,8.26949532687616E-10,1.43641586841582E-06,-3.7212287565379E-09,1.60471111993295E-06,0,0,0,0,0,0,package://reddog/meshes/frf_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/frf_Link.STL,,frf.step-6,frf,Axis_frf,frf,fixed,0,0.130000000000001,-0.00975923997471564,1.5707963267949,0,0,frd_Link,0,0,0,,,,,,,,,,,,
fl_Link,0.0355876629183953,0.0104297571972458,-1.25143915321693E-06,0,0,0,0.13244658699182,3.50241303705983E-05,2.41070757362705E-06,-2.75192842495562E-08,5.771326219621E-05,4.42180263195148E-10,3.96315319981778E-05,0,0,0,0,0,0,package://reddog/meshes/fl_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/fl_Link.STL,,fl.step-1,Origin_fl,Axis_fl,fl,continuous,0.127999974999998,0.055,0,0,0,0,base_link,1,0,0,,,,,,,,,,,,
flu_Link,-9.322354294658E-05,0.0198920926855064,-0.105758318220204,0,0,0,0.174521378099688,0.00021416651705173,1.96444186937032E-10,-6.51577451257892E-07,0.00024367694389638,-2.5482000345347E-06,4.56954591147797E-05,0,0,0,0,0,0,package://reddog/meshes/flu_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/flu_Link.STL,,flu.step-1,Origin_flu,Axis_flu,flu,continuous,0.038500025,0.0375,0,0,0,0,fl_Link,0,1,0,,,,,,,,,,,,
fld_Link,-9.70787863944778E-05,0.0411442604249474,0.00959964822854187,0,0,0,0.0428724893228439,7.92561419815489E-05,-4.31216070557152E-07,-9.2047513590617E-09,9.56595283953003E-06,2.2344422571934E-06,8.75850437803144E-05,0,0,0,0,0,0,package://reddog/meshes/fld_Link.STL,0.286274509803922,0.286274509803922,0.286274509803922,1,0,0,0,0,0,0,package://reddog/meshes/fld_Link.STL,,fld.step-2/Component4(Mirror) (1)(Mirror).step-1,Origin_fld,Axis_fld,fld,continuous,0,0.0409852014855579,-0.130000000000001,-1.5707963267949,0,0,flu_Link,0,0,1,,,,,,,,,,,,
flf_Link,-1.02909637928472E-05,5.01879166343588E-05,-0.00145506139948504,0,0,0,0.0137552483100665,1.39686276130514E-06,9.62674534363304E-11,8.14867874364253E-10,1.43642005039772E-06,3.72023682270811E-09,1.60478168166874E-06,0,0,0,0,0,0,package://reddog/meshes/flf_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/flf_Link.STL,,flf.step-4,flf,Axis_flf,flf,fixed,0,0.13,0.00975923997471576,1.5707963267949,0,0,fld_Link,0,0,0,,,,,,,,,,,,
bl_Link,-0.0355876622179456,0.0104297571974238,1.2490525521942E-06,0,0,0,0.132446586990077,3.50241500313929E-05,-2.41070827470974E-06,-2.71353906956116E-08,5.77132621959258E-05,-4.40922682162854E-10,3.9631512337081E-05,0,0,0,0,0,0,package://reddog/meshes/bl_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/bl_Link.STL,,bl.step-1,Origin_bl,Axis_bl,bl,continuous,-0.127999975000005,0.055000000000013,0,0,0,0,base_link,1,0,0,,,,,,,,,,,,
blu_Link,-9.32210679701617E-05,0.0198920922165511,-0.105758317112191,0,0,0,0.174521375081899,0.000214166517140009,1.94652115965591E-10,-6.5157759609521E-07,0.000243676944292708,-2.54820102794731E-06,4.5695459416302E-05,0,0,0,0,0,0,package://reddog/meshes/blu_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/blu_Link.STL,,blu.step-1,Origin_blu,Axis_blu,blu,continuous,-0.038500024999994,0.0374999999999811,0,0,0,0,bl_Link,0,1,0,,,,,,,,,,,,
bld_Link,-9.70787863884548E-05,0.0411442604249506,0.00959964822854659,0,0,0,0.0428724893228438,7.92561419815478E-05,-4.31216070558841E-07,-9.20475135876712E-09,9.56595283953009E-06,2.23444225719345E-06,8.75850437803133E-05,0,0,0,0,0,0,package://reddog/meshes/bld_Link.STL,0.286274509803922,0.286274509803922,0.286274509803922,1,0,0,0,0,0,0,package://reddog/meshes/bld_Link.STL,,bld.step-2/Component4(Mirror) (1)(Mirror) (1).step-1,Origin_bld,Axis_bld,bld,continuous,0,0.0409852014855522,-0.130000000000005,-1.57079632679497,0,0,blu_Link,0,0,1,,,,,,,,,,,,
blf_Link,-1.02713316354475E-05,4.95601191713713E-05,-0.00145516490293984,0,0,0,0.0137558859903931,1.39700624065707E-06,9.38901290293256E-11,8.15629808612237E-10,1.43632820242253E-06,3.68933326435529E-09,1.60491357857018E-06,0,0,0,0,0,0,package://reddog/meshes/blf_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/blf_Link.STL,,blf.step-2,blf,Axis_blf,blf,fixed,0,0.129999999999972,0.00975923997471473,1.57079632679497,0,0,bld_Link,0,0,0,,,,,,,,,,,,
br_Link,-0.0355876266780858,-0.010429690018318,1.27627955237427E-06,0,0,0,0.132446721534859,3.50237623398099E-05,2.41073306850892E-06,-2.69119989617082E-08,5.77131471300883E-05,5.32211815250773E-10,3.96319230100932E-05,0,0,0,0,0,0,package://reddog/meshes/br_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/br_Link.STL,,br.step-1,Origin_br,Axis_br,br,continuous,-0.127999975000003,-0.0549999999999869,0,0,0,0,base_link,1,0,0,,,,,,,,,,,,
bru_Link,-9.34332940800975E-05,-0.019891787150669,-0.105759912898829,0,0,0,0.174525955431326,0.000214183984513891,-3.55213189542003E-10,-6.53208577400358E-07,0.000243702006403632,2.54712835616444E-06,4.57032534460789E-05,0,0,0,0,0,0,package://reddog/meshes/bru_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/bru_Link.STL,,bru.step-1,Origin_bru,Axis_bru,bru,continuous,-0.0385000250000004,-0.0375000000000083,0,0,0,0,br_Link,0,1,0,,,,,,,,,,,,
brd_Link,-9.82520702958734E-05,0.0411429320797169,-0.00959945232446627,0,0,0,0.0428740047698689,7.92568863026745E-05,-4.32944552705277E-07,8.98696388854774E-09,9.57441852489554E-06,-2.23385208786902E-06,8.75941589486272E-05,0,0,0,0,0,0,package://reddog/meshes/brd_Link.STL,0.286274509803922,0.286274509803922,0.286274509803922,1,0,0,0,0,0,0,package://reddog/meshes/brd_Link.STL,,brd.step-2/Component4(Mirror) (1)(Mirror) (1)(Mirror).step-1,Origin_brd,Axis_brd,brd,continuous,0,-0.040985201485545,-0.130000000000005,-1.57079632679483,0,0,bru_Link,0,0,1,,,,,,,,,,,,
brf_Link,-1.0196E-05,-4.9569E-05,-0.0014553,0,0,0,0.013756,1.3971E-06,-9.6686E-11,8.2779E-10,1.4363E-06,-3.6905E-09,1.6048E-06,0,0,0,0,0,0,package://reddog/meshes/brf_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://reddog/meshes/brf_Link.STL,,brf.step-2,brf,Axis_brf,brf,fixed,0,0.130000000000003,-0.00975923997473169,1.57079632679483,0,0,brd_Link,0,0,0,,,,,,,,,,,,
